rec_art;onrp;bfsnr;plz_typ;postleitzahl;plz_zz;gplz;ortbez18;ortbez27;kanton;sprachcode;sprachcode_abw;briefz_durch;gilt_ab_dat;plz_briefzust;plz_coff;geo_shape;geo_point_2d
01;104;5586;20;1000;00;1000;Lausanne;Lausanne;VD;2;;130;1988-03-01;100060;N;;
01;106;5586;80;1000;02;1000;Lausanne 2;Lausanne 2;VD;2;;149;1986-05-21;100200;;;
01;112;5586;80;1000;08;1000;Lausanne 8;Lausanne 8;VD;2;;130;1997-05-20;100060;;;
01;114;5586;30;1000;12;1000;Lausanne 12;Lausanne 12;VD;2;;114;1994-06-21;100012;;;
01;117;5586;30;1000;16;1000;Lausanne 16;Lausanne 16;VD;2;;117;1986-05-21;100016;;;
01;122;5586;30;1000;22;1000;Lausanne 22;Lausanne 22;VD;2;;122;1986-05-21;100022;;;
01;123;5586;80;1000;23;1000;Lausanne 23;Lausanne 23;VD;2;;130;1991-06-27;100060;;;
01;124;5586;80;1000;24;1000;Lausanne 24;Lausanne 24 Vennes;VD;2;;130;1993-09-06;100060;;;
01;156;5589;10;1008;00;1000;Prilly;Prilly;VD;2;;130;1996-06-10;100060;J;"{""type"": ""Polygon"", ""coordinates"": [[[6.6047687161, 46.5296178981], [6.6044555532, 46.5291079629], [6.6039950931, 46.5280185546], [6.6040770121, 46.5279981062], [6.6041803753, 46.5279910502], [6.6042281225, 46.5279877946], [6.6042051247, 46.5279322952], [6.6041863178, 46.5279008569], [6.604159762, 46.5278562892], [6.6041268994, 46.5277811941], [6.6041238118, 46.5277701053], [6.6041031623, 46.5276976193], [6.6040966956, 46.5276858759], [6.6040784217, 46.5276452559], [6.6040735067, 46.5276343336], [6.6040769137, 46.5275909855], [6.6040830833, 46.5275797671], [6.6040998492, 46.5275492298], [6.6041142185, 46.5275050719], [6.604114256, 46.5274604484], [6.6041105434, 46.5272299068], [6.6041101312, 46.5272042721], [6.6042951284, 46.5272025773], [6.6044608316, 46.5272009919], [6.6044563537, 46.526807172], [6.604456272, 46.5268040226], [6.6044853374, 46.5267957799], [6.6044888718, 46.5267948163], [6.6045785195, 46.5267717257], [6.604615099, 46.5267622608], [6.6046197451, 46.5267610535], [6.6046189322, 46.5267005625], [6.6046187722, 46.5266889736], [6.6046183723, 46.5266557727], [6.6046168082, 46.5266557612], [6.6046154223, 46.5265682128], [6.6046139886, 46.5265682022], [6.6046138462, 46.526552097], [6.6046133855, 46.5265059404], [6.604623678, 46.5265062862], [6.6046257315, 46.5263665011], [6.6046262793, 46.5263293307], [6.6046266, 46.5263085506], [6.6045156882, 46.5263074632], [6.6043136645, 46.5263061538], [6.6041659912, 46.5263052269], [6.6041482522, 46.5263051141], [6.6041500993, 46.5261931184], [6.6041501643, 46.5261728763], [6.6041525699, 46.5260086947], [6.6041526935, 46.5260006885], [6.6041532779, 46.5259586331], [6.6041540332, 46.525905513], [6.6040589375, 46.5258932059], [6.6036692186, 46.525832392], [6.6035754598, 46.5258179351], [6.6034209456, 46.5258042893], [6.6034154818, 46.5258044289], [6.6033162625, 46.5258042363], [6.6032912354, 46.5258042315], [6.6031091872, 46.5259526921], [6.6030827159, 46.5259449304], [6.6029571834, 46.5259081516], [6.6029337482, 46.525901285], [6.6019853883, 46.5262076544], [6.6019938024, 46.5262198622], [6.6019429598, 46.5262370301], [6.6020079425, 46.5263252467], [6.6020179, 46.5263388064], [6.6020317203, 46.526357127], [6.6020677144, 46.5264048508], [6.6021127998, 46.5264648324], [6.6020903199, 46.5264720257], [6.6016876982, 46.526600789], [6.6014359123, 46.5266812475], [6.6016379131, 46.5269786533], [6.601771107, 46.5271747865], [6.6018081953, 46.5272293111], [6.6018177519, 46.5272435066], [6.601833047, 46.5272659316], [6.6019423949, 46.5274270709], [6.6019863645, 46.5274918125], [6.6020026516, 46.5275158463], [6.6020247246, 46.5275484157], [6.6020572257, 46.5275961587], [6.6020103226, 46.5276113764], [6.6021157106, 46.5277673581], [6.6017788691, 46.5278759965], [6.601762506, 46.5278812646], [6.6017964687, 46.5279272191], [6.6020092679, 46.5282146456], [6.6020446879, 46.5282624821], [6.6020947258, 46.5283310472], [6.6021272771, 46.528374742], [6.6021404698, 46.5283923832], [6.6014320949, 46.5286185614], [6.6013541635, 46.5289038208], [6.6013291612, 46.528994593], [6.601313761, 46.5290495572], [6.6013051505, 46.5290802624], [6.6011958336, 46.5290935698], [6.6009714876, 46.5291438664], [6.6008220978, 46.5291773535], [6.6005404491, 46.5292492314], [6.6005572387, 46.5293013949], [6.5992423864, 46.5297629312], [6.6000042863, 46.5308112624], [6.600021058, 46.5308343292], [6.6000532534, 46.5308841686], [6.5998316085, 46.5311688321], [6.5998046005, 46.5313340257], [6.5997896929, 46.53136554], [6.5997489778, 46.5314521502], [6.599681054, 46.5319477469], [6.5996237505, 46.5323638068], [6.5995637364, 46.5328074497], [6.5995455478, 46.5329419024], [6.5994954894, 46.533311042], [6.5994882829, 46.5333637109], [6.5994809138, 46.5334184475], [6.5994638408, 46.5335439179], [6.5994610299, 46.5335653997], [6.5994467552, 46.533670198], [6.5994463082, 46.5336737934], [6.5994426089, 46.5337021063], [6.5994342223, 46.5337635831], [6.5994337333, 46.5337698773], [6.5994325213, 46.5337807546], [6.5994320338, 46.5337869588], [6.599428073, 46.533832094], [6.5994199753, 46.5339336992], [6.5994158337, 46.5340156304], [6.5994146926, 46.5340471112], [6.5994144937, 46.5340515182], [6.5994103902, 46.5341729462], [6.599408375, 46.5342942188], [6.5994075255, 46.5343572629], [6.5994061003, 46.5344741224], [6.5994048341, 46.5346394764], [6.5994047446, 46.5346452338], [6.5994047243, 46.5346633175], [6.5994048302, 46.534681672], [6.5994045066, 46.5347947609], [6.5994033113, 46.5350057321], [6.5994024662, 46.5351521967], [6.5994102613, 46.535153964], [6.5993809742, 46.5353268465], [6.5993651183, 46.5354141108], [6.5993562933, 46.5354626079], [6.5993541833, 46.5354741976], [6.5993487718, 46.5355035757], [6.5993260629, 46.5356056062], [6.5991557291, 46.5362301663], [6.599095596, 46.5363994903], [6.5990836505, 46.5364298184], [6.5990547677, 46.5365104543], [6.5988930812, 46.5369619419], [6.5988869751, 46.5369789627], [6.5988390833, 46.537132364], [6.5987605426, 46.5372863468], [6.5987190037, 46.5373415544], [6.5986759372, 46.537436236], [6.598641567, 46.5375125036], [6.5986280081, 46.5375425856], [6.5986382667, 46.5375871044], [6.5986864564, 46.5377913314], [6.5987776934, 46.5381784255], [6.5987512794, 46.5382168235], [6.5987508668, 46.5382173602], [6.5987278112, 46.5382519237], [6.5986602735, 46.538351461], [6.5986394565, 46.5383820827], [6.5986075627, 46.5384290764], [6.5985648703, 46.5384913015], [6.598590387, 46.5388369544], [6.5986049647, 46.5390319347], [6.5986483161, 46.5396138137], [6.5986572783, 46.5397348914], [6.5986611994, 46.5397384652], [6.5987805595, 46.5398470955], [6.5991108363, 46.5401483354], [6.5991362918, 46.5401715558], [6.5991447742, 46.5401811461], [6.5992682176, 46.5403207631], [6.5993286195, 46.5403890908], [6.5991927228, 46.5404329713], [6.5991588836, 46.5404314959], [6.5991058122, 46.5404291755], [6.5990246073, 46.5404441437], [6.598924797, 46.5404732686], [6.5988077202, 46.5405151386], [6.5981627456, 46.5407453465], [6.5979445547, 46.5408069738], [6.5977224689, 46.540867492], [6.5977134597, 46.5408699528], [6.5976025202, 46.540900253], [6.5974040536, 46.54095285], [6.5973988161, 46.5409542503], [6.5973566528, 46.5409656311], [6.5973485344, 46.5409678196], [6.5973449988, 46.5409687829], [6.597310415, 46.5409782409], [6.5968849624, 46.5410943761], [6.5967098266, 46.5411457965], [6.5964719551, 46.5412150109], [6.5964180266, 46.5412282826], [6.5960535253, 46.541357105], [6.5960576938, 46.541359871], [6.5963322962, 46.541541995], [6.5963652051, 46.5415638323], [6.596436702, 46.5416112377], [6.5966288659, 46.5417386277], [6.5966617747, 46.5417604663], [6.5967713417, 46.5418331738], [6.5968801127, 46.541898418], [6.59701162, 46.5419773012], [6.5971006267, 46.5420306917], [6.5973918124, 46.5422048813], [6.5974538013, 46.5421598172], [6.5976991058, 46.542333852], [6.5978181283, 46.542419128], [6.5979803632, 46.542534526], [6.5980008874, 46.5425478875], [6.5980804343, 46.542605975], [6.5982416333, 46.5427209869], [6.5982743863, 46.5427445348], [6.5982959113, 46.5427606209], [6.5983467013, 46.5427981593], [6.5983390638, 46.5428037797], [6.5981117823, 46.5429710559], [6.5980253777, 46.5430348328], [6.5979461223, 46.5431167482], [6.5978783742, 46.5431881366], [6.5977699513, 46.5433023218], [6.5977520401, 46.5433211739], [6.5976635747, 46.5434248813], [6.5975792281, 46.5435236795], [6.5974863749, 46.5436419307], [6.5974512769, 46.5436933171], [6.597449422, 46.5436951928], [6.597403695, 46.5437425048], [6.5973108886, 46.5438385315], [6.597288913, 46.5438612674], [6.5974907993, 46.54396866], [6.5974924, 46.5439696977], [6.5978075037, 46.5441377427], [6.5979651474, 46.5442217789], [6.5981041807, 46.5442951488], [6.5983122554, 46.5444064548], [6.5984207678, 46.5444644894], [6.5984620178, 46.5444867513], [6.5984730613, 46.5444793203], [6.5984964009, 46.5444635858], [6.5986418931, 46.544365539], [6.5987442978, 46.5442208953], [6.5987865221, 46.544172369], [6.598851152, 46.5440994182], [6.5988771678, 46.5440700987], [6.5989274804, 46.5440129766], [6.599005003, 46.5439251943], [6.5990538563, 46.5438688171], [6.5990585174, 46.5438634261], [6.5990927212, 46.5438776183], [6.5998944652, 46.5442339219], [6.6001769033, 46.5443599051], [6.5999695771, 46.5445818969], [6.5999614214, 46.5445906272], [6.6004011614, 46.544747734], [6.6008709893, 46.5449156259], [6.601260043, 46.5450546081], [6.601574649, 46.5451669872], [6.601748894, 46.5452305813], [6.6017766687, 46.545240703], [6.6018066181, 46.545245982], [6.6018566466, 46.5452548021], [6.6030377673, 46.5458878503], [6.6032624485, 46.5460082752], [6.6032651721, 46.5460083943], [6.6035984096, 46.5460224593], [6.6037943717, 46.546041527], [6.603977038, 46.5460771482], [6.6040840536, 46.5461046582], [6.6041916742, 46.5461360592], [6.6042975084, 46.546173358], [6.6044098851, 46.5462227249], [6.6044620971, 46.546245665], [6.6047397112, 46.5463676218], [6.6051067952, 46.5465362287], [6.6055224575, 46.5467015113], [6.6055936669, 46.5467095024], [6.6056737408, 46.5467751394], [6.6056508973, 46.546788404], [6.6053941213, 46.5469372605], [6.6053684884, 46.546952115], [6.6053075801, 46.5469745734], [6.6049123434, 46.5471203328], [6.6046907318, 46.5472837167], [6.6044323421, 46.5474741718], [6.6041258632, 46.5476430397], [6.6039381983, 46.5477782335], [6.6036834714, 46.5480173084], [6.6040618847, 46.5486604237], [6.6042126938, 46.5487320701], [6.6043082372, 46.5487773981], [6.6038020334, 46.5498218954], [6.6036322633, 46.5501722128], [6.6036214861, 46.5501944458], [6.6037455872, 46.55024862], [6.6041717494, 46.5504359192], [6.6046344578, 46.5506392387], [6.6048428649, 46.5507312781], [6.6048560784, 46.5507370431], [6.6048917003, 46.5507527794], [6.6048799121, 46.5507813928], [6.6049178751, 46.5508228773], [6.6050062766, 46.5508580745], [6.6050687966, 46.5509308684], [6.6051561521, 46.5509831518], [6.6051515874, 46.5510929703], [6.6051988465, 46.5511490259], [6.6052971513, 46.5512777641], [6.6053335696, 46.5512867134], [6.6053601654, 46.5512932514], [6.6053787606, 46.5513373556], [6.6053990414, 46.5513854848], [6.6054522986, 46.5514247422], [6.6054708169, 46.5514755305], [6.6055143398, 46.5515117474], [6.6055694073, 46.5515858359], [6.6055650842, 46.5516208921], [6.6055773741, 46.55162737], [6.6056049934, 46.5516546533], [6.6061155808, 46.551858048], [6.6064232464, 46.5519804658], [6.606658297, 46.5520739836], [6.6066655472, 46.5522653284], [6.606682664, 46.552711834], [6.6066997809, 46.5531583486], [6.6070273184, 46.5531631052], [6.6072230271, 46.5531659599], [6.6072878353, 46.5531582473], [6.6080016684, 46.5530729096], [6.6088358981, 46.5529731711], [6.6088469545, 46.5530175075], [6.6091829593, 46.5529773449], [6.6097179319, 46.552913398], [6.6097217737, 46.5529129133], [6.6097225707, 46.5529128201], [6.6097236422, 46.552912684], [6.6097245179, 46.5529125644], [6.6097256158, 46.5529124105], [6.6097293929, 46.5529118893], [6.6097332622, 46.5529113147], [6.6097337198, 46.5529112371], [6.6097350139, 46.5529110486], [6.6097368836, 46.5529107384], [6.6097389626, 46.5529103937], [6.6097407538, 46.5529101009], [6.6097446378, 46.5529094185], [6.6097450563, 46.5529093406], [6.6097462856, 46.5529091246], [6.6097473712, 46.5529089166], [6.6097484177, 46.5529087173], [6.6097504975, 46.5529083187], [6.6097518839, 46.5529080589], [6.6097528781, 46.5529078592], [6.6097559265, 46.5529072337], [6.6097570648, 46.5529069991], [6.6097574572, 46.552906921], [6.6097581377, 46.552906773], [6.6097596556, 46.5529064422], [6.609760938, 46.5529061637], [6.6097629924, 46.5529057198], [6.6097664216, 46.5529049262], [6.6097671938, 46.5529047519], [6.6097685026, 46.5529044465], [6.6097698248, 46.5529041233], [6.6097707675, 46.5529038873], [6.6097726003, 46.5529034328], [6.6097739748, 46.552903101], [6.6097749569, 46.5529028472], [6.6097782172, 46.5529020073], [6.6097794089, 46.5529016921], [6.6097805222, 46.5529013854], [6.6097817402, 46.5529010524], [6.609784412, 46.5529003162], [6.6097848704, 46.5529001936], [6.6097853681, 46.5529000532], [6.6097889707, 46.5528990089], [6.6097896388, 46.5528988159], [6.6097901628, 46.5528986667], [6.6097925475, 46.5528979464], [6.6097954825, 46.5528970592], [6.609796046, 46.5528968833], [6.6097996633, 46.5528957312], [6.6098001352, 46.5528955727], [6.6098007511, 46.5528953792], [6.6098024815, 46.5528948071], [6.6098031894, 46.5528945693], [6.6098042381, 46.5528942171], [6.6098059816, 46.552893636], [6.6098063226, 46.5528935126], [6.6098067027, 46.5528933894], [6.6098101906, 46.5528921733], [6.609810702, 46.5528919881], [6.609811161, 46.5528918295], [6.6098121839, 46.5528914591], [6.6098136527, 46.55289093], [6.6098147807, 46.5528905154], [6.6098163021, 46.5528899597], [6.6098170498, 46.5528896772], [6.6098205132, 46.552888353], [6.6098212349, 46.5528880704], [6.6098216941, 46.5528878938], [6.609823308, 46.5528872578], [6.6098244365, 46.5528868072], [6.6098258668, 46.5528862418], [6.6098264179, 46.5528860209], [6.6098267986, 46.5528858618], [6.6098272841, 46.5528856674], [6.6098307493, 46.5528842262], [6.6098313924, 46.552883961], [6.6098325739, 46.5528834568], [6.6098339525, 46.5528828641], [6.6098350685, 46.5528823774], [6.6098363158, 46.5528818377], [6.6098371301, 46.5528814658], [6.6098405443, 46.5528799432], [6.6098411879, 46.552879651], [6.6098421993, 46.5528791816], [6.6098437626, 46.5528784462], [6.6098452076, 46.552877773], [6.6098459956, 46.5528774099], [6.6098465213, 46.5528771528], [6.6098469942, 46.5528769314], [6.6098502266, 46.5528753625], [6.6098507522, 46.5528751054], [6.6098519089, 46.5528745201], [6.6098533545, 46.5528738019], [6.6098547215, 46.5528731101], [6.6098554314, 46.5528727464], [6.6098557732, 46.552872569], [6.609856483, 46.5528722053], [6.609859599, 46.5528705726], [6.6098600593, 46.5528703241], [6.6098626763, 46.5528689127], [6.6098639128, 46.552868229], [6.6098646229, 46.5528678473], [6.609864965, 46.5528676518], [6.6098657149, 46.5528672255], [6.6098662409, 46.5528669414], [6.6098690169, 46.5528653692], [6.6098702144, 46.5528646762], [6.6098721489, 46.5528635477], [6.6098732018, 46.5528629256], [6.609873557, 46.5528627213], [6.6098738466, 46.5528625525], [6.6098746892, 46.5528620368], [6.6098776118, 46.5528602588], [6.6098779146, 46.552860072], [6.6098822076, 46.5528573773], [6.609885053, 46.5528555357], [6.6098856987, 46.5528550996], [6.6098864363, 46.5528546282], [6.6098869768, 46.5528542542], [6.6098877148, 46.5528537558], [6.6098890326, 46.5528528657], [6.609890601, 46.5528517976], [6.6098933957, 46.5528498566], [6.6098938572, 46.5528495271], [6.6098946614, 46.5528489662], [6.6098956638, 46.5528482358], [6.6098961121, 46.5528479152], [6.609898183, 46.5528464008], [6.6098987238, 46.5528459999], [6.6099014416, 46.5528439685], [6.609901996, 46.5528435406], [6.6099025765, 46.552843104], [6.6099034082, 46.5528424533], [6.6099040286, 46.552841963], [6.6099065104, 46.5528400198], [6.6099091515, 46.5528378889], [6.6099094289, 46.552837657], [6.6099101948, 46.5528370418], [6.6099110404, 46.5528363282], [6.6099116481, 46.5528358198], [6.6099123616, 46.5528352222], [6.609913881, 46.5528339468], [6.6099155466, 46.5528324924], [6.6099165382, 46.552831618], [6.6099172255, 46.5528310202], [6.6099174767, 46.5528307971], [6.6099177413, 46.5528305561], [6.6099187464, 46.5528296458], [6.6099192754, 46.5528291728], [6.6099209948, 46.5528276109], [6.609921286, 46.5528273341], [6.6099236016, 46.5528251648], [6.6099243691, 46.5528244417], [6.6099246206, 46.5528242006], [6.6099256534, 46.5528231915], [6.6099261167, 46.552822745], [6.6099272423, 46.5528216376], [6.6099277851, 46.5528211108], [6.6099280897, 46.5528208071], [6.6099297459, 46.5528191188], [6.6099305275, 46.5528183238], [6.6099310444, 46.5528177877], [6.6099321179, 46.552816671], [6.6099328074, 46.5528159382], [6.6099341995, 46.5528144549], [6.6099345974, 46.552814026], [6.6099366799, 46.552811747], [6.609936932, 46.5528114699], [6.6099373168, 46.5528110409], [6.6099377948, 46.5528104866], [6.6099387107, 46.5528094406], [6.6099397329, 46.5528082695], [6.6099403169, 46.552807608], [6.609940689, 46.5528071608], [6.6099426815, 46.5528048002], [6.6099430137, 46.5528043978], [6.6099432264, 46.5528041384], [6.6099437449, 46.5528034944], [6.6099445956, 46.552802448], [6.6099454203, 46.5528014014], [6.6099460451, 46.5528006322], [6.6099463909, 46.5528001939], [6.6099483604, 46.5527976352], [6.6099487729, 46.5527970984], [6.609949652, 46.5527959082], [6.6099500915, 46.5527953086], [6.6099506779, 46.5527944942], [6.6099513971, 46.5527935188], [6.6099517705, 46.5527929817], [6.6099523171, 46.552792212], [6.6099539434, 46.5527899206], [6.6099548511, 46.5527885597], [6.6099552112, 46.5527880405], [6.6099556384, 46.5527873959], [6.609956386, 46.5527862767], [6.6099568136, 46.5527856051], [6.6099577358, 46.5527841543], [6.6099587245, 46.5527826141], [6.6099592864, 46.5527816915], [6.6099599285, 46.5527806436], [6.609960263, 46.5527800972], [6.6099609852, 46.5527789239], [6.6099623922, 46.552776478], [6.609962928, 46.5527755552], [6.6099631291, 46.5527751968], [6.6099634243, 46.5527746592], [6.6099642695, 46.5527731269], [6.6099646988, 46.5527723473], [6.6099651951, 46.5527714512], [6.609965585, 46.5527706893], [6.6099664181, 46.552769094], [6.6099671441, 46.5527676777], [6.6099674403, 46.5527670681], [6.6099679519, 46.5527660282], [6.6099684096, 46.5527650959], [6.6099688274, 46.5527642172], [6.6099690022, 46.5527638766], [6.6099692448, 46.5527633656], [6.6099694337, 46.5527629531], [6.6099706208, 46.5527603887], [6.6099707289, 46.5527601375], [6.6099711753, 46.5527590972], [6.6099717429, 46.5527578058], [6.6099721081, 46.5527569537], [6.6099724193, 46.5527562183], [6.6099725277, 46.5527559581], [6.6099728532, 46.5527551418], [6.60997387, 46.5527526211], [6.6099739785, 46.552752352], [6.6099754335, 46.552748476], [6.610113776, 46.5524021074], [6.6102411359, 46.5520829191], [6.6103948245, 46.5516779216], [6.6131612486, 46.5513946886], [6.6151686858, 46.5510630691], [6.6151917872, 46.5510122964], [6.6153252282, 46.5507188958], [6.6153517434, 46.5506050078], [6.6153621096, 46.5503698958], [6.6153457912, 46.5503025709], [6.6152978065, 46.5502422137], [6.6153886286, 46.5501479645], [6.6147814467, 46.5496456553], [6.614605533, 46.5495149766], [6.6144022737, 46.5494004914], [6.6140315451, 46.5492490719], [6.6135129155, 46.5490544528], [6.6139614781, 46.5465766811], [6.6139690257, 46.5464528945], [6.6139764796, 46.5463908166], [6.6140678905, 46.5460625386], [6.6142952335, 46.5452635803], [6.6144995917, 46.544795826], [6.6145385889, 46.5446447015], [6.6145621929, 46.5445384674], [6.614494825, 46.5445216579], [6.6141886288, 46.5437039517], [6.6140519938, 46.5434716954], [6.6139951972, 46.543135584], [6.6140124489, 46.5429675677], [6.6130792543, 46.5428374982], [6.6127710323, 46.5435662568], [6.6127677839, 46.5435655134], [6.6127524501, 46.543562073], [6.6127358934, 46.5435584527], [6.6125429569, 46.5435162836], [6.6118203786, 46.5433582544], [6.6120095311, 46.5428673258], [6.6125071212, 46.5415788781], [6.6125134209, 46.5415625766], [6.61254405, 46.54148333], [6.6121967717, 46.5414008993], [6.6120947881, 46.5413766744], [6.6120295052, 46.5413612009], [6.6119377193, 46.5413394524], [6.6115186119, 46.5412400406], [6.6111808443, 46.5411600151], [6.6110775492, 46.5411355098], [6.6110838344, 46.541128673], [6.6110880777, 46.5411240525], [6.6110634104, 46.5410627295], [6.6111147408, 46.5409940885], [6.6111039006, 46.5409901677], [6.611095978, 46.5409872939], [6.6112412307, 46.5407942359], [6.6113724383, 46.5406522767], [6.6113902057, 46.540633], [6.6114078825, 46.5406136775], [6.6114254556, 46.5405943094], [6.6114429381, 46.5405749045], [6.6114603169, 46.540555454], [6.611477605, 46.5405359668], [6.6114947763, 46.5405164427], [6.6115118702, 46.5404968641], [6.6115288473, 46.5404772487], [6.6115456939, 46.5404576413], [6.6115624237, 46.540437997], [6.6115790758, 46.5404183163], [6.6115956113, 46.5403985896], [6.611612056, 46.5403788263], [6.611628397, 46.5403590263], [6.6116446473, 46.5403391807], [6.6116607809, 46.5403192981], [6.6116768368, 46.5402993791], [6.6117840638, 46.540217839], [6.6117954741, 46.5402219888], [6.6118045507, 46.5402252759], [6.6118699533, 46.5401392563], [6.6119517225, 46.5400317365], [6.6120077021, 46.5399096966], [6.6119874858, 46.5399016319], [6.6120180586, 46.5398463441], [6.6120329674, 46.5398245546], [6.6120477725, 46.5398027283], [6.6120624867, 46.5397808744], [6.61207711, 46.5397589929], [6.6120916165, 46.5397370745], [6.6121060581, 46.5397151376], [6.6121203572, 46.5396931457], [6.6121345781, 46.5396711442], [6.6121486952, 46.539649106], [6.6121627216, 46.5396270402], [6.6121766441, 46.5396049376], [6.6121776198, 46.5396033702], [6.6121904628, 46.5395828072], [6.6122041906, 46.5395606492], [6.6122178145, 46.5395384634], [6.6122313345, 46.5395162499], [6.6122447506, 46.5394940087], [6.612258076, 46.5394717308], [6.6122712974, 46.5394494341], [6.6122844151, 46.5394270917], [6.6122974287, 46.5394047396], [6.6123103386, 46.5393823507], [6.6123231575, 46.5393599341], [6.6125470229, 46.5389592201], [6.6124713592, 46.5389390015], [6.6124200296, 46.5389252761], [6.6125370838, 46.5387138859], [6.6126547678, 46.5384782088], [6.6128254347, 46.5381381592], [6.612889974, 46.5380095525], [6.6130075883, 46.5377612852], [6.6133717404, 46.5372144842], [6.6134020364, 46.5371599133], [6.6134657586, 46.537045549], [6.6135317993, 46.536927027], [6.6136639767, 46.5366904604], [6.6136871501, 46.5366489732], [6.6135498648, 46.5365885098], [6.6135148371, 46.5365771878], [6.6134707709, 46.5365686789], [6.6130342403, 46.536357228], [6.6129452044, 46.5363140127], [6.6124206393, 46.5360607004], [6.6124108167, 46.5360559502], [6.6120694323, 46.5358901576], [6.6123454009, 46.5354910859], [6.6124127309, 46.5353940499], [6.6125530378, 46.5352040588], [6.6125331212, 46.535210661], [6.6125130867, 46.5351993582], [6.6125014139, 46.5351954041], [6.6124553717, 46.5351797906], [6.6124247636, 46.5351693911], [6.6120176424, 46.5350308283], [6.61195408, 46.53501003], [6.6119129628, 46.5349963325], [6.6119024417, 46.5350117306], [6.6118756825, 46.5350037073], [6.6117961348, 46.5349881902], [6.6117897681, 46.5349867941], [6.6117735798, 46.5349797479], [6.6117136414, 46.5349606854], [6.6115859806, 46.5349200741], [6.6114287798, 46.5348691697], [6.6114086335, 46.5348626433], [6.6114873661, 46.5347446291], [6.6116685721, 46.5344982117], [6.6116933347, 46.5344645279], [6.6116308848, 46.5344230172], [6.6116144831, 46.5344120376], [6.611324963, 46.5342220682], [6.6112252057, 46.534155659], [6.6112197846, 46.5341521105], [6.6111158778, 46.5340834215], [6.6109584144, 46.5339799713], [6.6108856302, 46.5339314836], [6.610864983, 46.5339176748], [6.6108473025, 46.533905939], [6.6106565618, 46.5337783931], [6.6106284291, 46.5337596529], [6.6106132306, 46.5337697532], [6.6106101226, 46.5337718088], [6.610256618, 46.534006696], [6.610234189, 46.5339900669], [6.6102233635, 46.5339818901], [6.6101340355, 46.5339147465], [6.6101063353, 46.5338933103], [6.61008004, 46.5338737737], [6.6099661478, 46.5337890044], [6.6098191558, 46.533679601], [6.6096692606, 46.5335665773], [6.6094791295, 46.533400355], [6.6094606402, 46.5333835836], [6.6093243241, 46.533259944], [6.6092555351, 46.5331976385], [6.609171446, 46.5331214462], [6.6086089429, 46.5328385963], [6.6082048217, 46.5327272223], [6.6081944312, 46.5327247168], [6.6082725575, 46.5321623381], [6.6080916678, 46.532150483], [6.6080778504, 46.5321495808], [6.6081087383, 46.5319301005], [6.6081119387, 46.5319084412], [6.6081197495, 46.5318522402], [6.6081994353, 46.5312791036], [6.608236554, 46.5310102825], [6.6083063436, 46.5305056034], [6.6083593274, 46.5301300094], [6.6083660485, 46.5300730166], [6.6083672991, 46.5300621122], [6.6083684455, 46.5300511981], [6.6083694746, 46.5300402831], [6.6083704124, 46.5300293584], [6.6083712449, 46.5300184334], [6.6083719732, 46.5300074986], [6.6083725972, 46.529996572], [6.60837313, 46.5299856357], [6.6083735456, 46.5299746986], [6.6083738699, 46.5299637609], [6.6083740296, 46.5299550531], [6.6083740981, 46.5299463446], [6.6083740621, 46.5299376444], [6.6083739351, 46.5299289345], [6.6083736907, 46.5299202238], [6.608373355, 46.5299115214], [6.608372915, 46.5299028182], [6.6083723836, 46.5298941233], [6.6083717349, 46.5298854276], [6.6083709949, 46.5298767312], [6.6083701506, 46.5298680431], [6.6083692148, 46.5298593633], [6.6083537065, 46.5297240178], [6.6082843929, 46.5297215475], [6.6080503888, 46.5297127127], [6.6077597099, 46.5297026604], [6.6076933933, 46.5297002748], [6.6071964717, 46.5296826057], [6.6071302881, 46.5296800498], [6.6069188316, 46.5296723861], [6.6066280242, 46.52966224], [6.6065471144, 46.5296593955], [6.6065448999, 46.5296592892], [6.6064196906, 46.5296549582], [6.6061725343, 46.5297389707], [6.6060345395, 46.5297856407], [6.6059321798, 46.5298200666], [6.6058332676, 46.5298532582], [6.6058196375, 46.5298579264], [6.6057562103, 46.5298793228], [6.6056927802, 46.5299008991], [6.6056538657, 46.5299137482], [6.60546148, 46.5299793675], [6.605219577, 46.5300607171], [6.6051568109, 46.5300818473], [6.6049171328, 46.5301627749], [6.6046009201, 46.5301033061], [6.6045788893, 46.5300585272], [6.604704765, 46.529766329], [6.6047687161, 46.5296178981]]]}";46.5404714354, 6.60619400064
01;162;5586;40;1014;00;1000;Lausanne Adm cant;Lausanne Adm cant VD;VD;2;;130;1987-12-15;100060;;;
